tipo,tema,enunciado,alternativa1,alternativa2,alternativa3,alternativa4,resposta,pontos
MULTIPLA,Ciencias,Qual é a principal função dos glóbulos vermelhos?,Combater infecções,Transportar oxigênio,Coagular o sangue,Produzir anticorpos,2,10
MULTIPLA,Ciencias,Qual é o nome da teoria que explica a origem do universo?,Teoria da Relatividade,Big Bang,Teoria Quântica,Teoria da Evolução,2,15
MULTIPLA,Ciencias,Quantas células o corpo humano tem aproximadamente?,37 bilhões,37 trilhões,37 milhões,370 bilhões,2,15
MULTIPLA,Ciencias,Qual é o nome do processo de condução de impulsos nervosos?,Sinapse,Respiração celular,Neuroplasticidade,Potencial de ação,4,15
MULTIPLA,Ciencias,Qual é o elemento químico mais pesado que ocorre naturalmente?,Ferro,Plutônio,Urânio,Rádio,3,15
MULTIPLA,Ciencias,O que é a lei da conservação da energia?,Energia não pode ser criada nem destruída,Energia sempre se transforma em luz,Todo corpo em repouso fica em repouso,Energia é sempre perdida,1,15
MULTIPLA,Ciencias,Qual é o nome da partícula subatômica com carga positiva?,Elétron,Nêutron,Próton,Quark,3,10
MULTIPLA,Ciencias,Qual é o nome do processo em que uma substância passa de sólido para gás diretamente?,Evaporação,Condensação,Sublimação,Fusão,3,15
MULTIPLA,Ciencias,Qual é o nome do fenômeno de divisão de uma célula em duas idênticas?,Meiose,Mitose,Reprodução,Clonagem,2,10
MULTIPLA,Ciencias,Qual é o nome do processo de fabricação de proteínas a partir do DNA?,Transdução,Transcrição,Tradução,Replicação,3,15
MULTIPLA,Ciencias,Qual é a temperatura de ebulição da água ao nível do mar?,90,100,110,120,2,10
MULTIPLA,Ciencias,Qual é o nome do órgão que produz bile?,Pâncreas,Rim,Fígado,Vesícula biliar,3,10
MULTIPLA,Ciencias,O que é entropia?,Medida de ordem em um sistema,Medida de desordem em um sistema,Tipo de energia cinética,Velocidade de reação química,2,15
MULTIPLA,Ciencias,Qual é o nome do fenômeno de bioluminescência em vagalumes?,Fluorescência,Quimioluminescência,Fosforescência,Incandescência,2,15
MULTIPLA,Ciencias,Qual é o nome do ramo da biologia que estuda fungos?,Micologia,Botânica,Zoologia,Ecologia,1,15
MULTIPLA,Ciencias,Qual é a unidade de frequência de ondas sonoras?,Metro,Pascal,Hertz,Newton,3,10
MULTIPLA,Ciencias,O que é um anticorpo?,Célula que destrói bactérias,Proteína produzida pelo sistema imune,Tipo de hormônio,Enzima digestiva,2,15
VERDADEIRO_FALSO,Ciencias,O Sol é uma estrela.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Ciencias,Os polvos têm três corações.,,,,,Verdadeiro,15
VERDADEIRO_FALSO,Ciencias,A Grande Muralha da China é visível a olho nu do espaço.,,,,,Falso,15
VERDADEIRO_FALSO,Ciencias,O DNA humano e o de um chimpanzé são aproximadamente 98 porcento idênticos.,,,,,Verdadeiro,15
VERDADEIRO_FALSO,Ciencias,A Terra é o terceiro planeta do sistema solar.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Ciencias,Os diamantes são feitos de carbono puro.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Ciencias,A velocidade do som é maior que a velocidade da luz.,,,,,Falso,10
VERDADEIRO_FALSO,Ciencias,O oxigênio é necessário para a combustão.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Ciencias,Todos os mamíferos são de sangue quente.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Ciencias,A água pura conduz eletricidade.,,,,,Falso,15
VERDADEIRO_FALSO,Ciencias,Morcegos são cegos.,,,,,Falso,10
VERDADEIRO_FALSO,Ciencias,O ácido tem pH menor que 7.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Ciencias,A lua tem atmosfera.,,,,,Falso,10
VERDADEIRO_FALSO,Ciencias,O coração humano tem quatro câmaras.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Ciencias,Vírus são seres vivos por definição clássica.,,,,,Falso,15
VERDADEIRO_FALSO,Ciencias,A fotossíntese libera dióxido de carbono.,,,,,Falso,10
VERDADEIRO_FALSO,Ciencias,O ferro enferruja quando exposto ao oxigênio e água.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Ciencias,O DNA é encontrado no núcleo da célula.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Ciencias,Todos os planetas do sistema solar têm luas.,,,,,Falso,10
VERDADEIRO_FALSO,Ciencias,A pressão atmosférica diminui com a altitude.,,,,,Verdadeiro,10
COMPLETAR,Ciencias,Complete: O elemento químico de símbolo Fe é o _____.,,,,,Ferro,20
COMPLETAR,Ciencias,Complete: A unidade básica da vida é a _____.,,,,,célula,20
COMPLETAR,Ciencias,Complete: O gás liberado pela fotossíntese é o _____.,,,,,oxigênio,20
COMPLETAR,Ciencias,Complete: A fórmula química do sal de cozinha é _____.,,,,,NaCl,20
COMPLETAR,Ciencias,Complete: O maior planeta do sistema solar é _____.,,,,,Júpiter,20
COMPLETAR,Ciencias,Complete: A velocidade da luz é aproximadamente _____ mil km por segundo.,,,,,300,20
COMPLETAR,Ciencias,Complete: O número atômico do Carbono é _____.,,,,,6,20
COMPLETAR,Ciencias,Complete: A partícula subatômica com carga negativa é o _____.,,,,,elétron,20
COMPLETAR,Ciencias,Complete: O processo de divisão celular que gera cópias idênticas é a _____.,,,,,mitose,20
COMPLETAR,Ciencias,Complete: A temperatura de ebulição da água ao nível do mar é _____ graus Celsius.,,,,,100,20
MULTIPLA,Historia,Qual é a capital da França?,Berlim,Madri,Paris,Roma,3,15
MULTIPLA,Historia,Em que ano o Brasil foi descoberto?,1400,1450,1500,1550,3,10
MULTIPLA,Historia,Qual país lançou as primeiras bombas atômicas na Segunda Guerra?,Alemanha,União Soviética,Reino Unido,Estados Unidos,4,10
MULTIPLA,Historia,Quem foi o primeiro presidente do Brasil?,Dom Pedro I,Marechal Deodoro da Fonseca,Floriano Peixoto,Getúlio Vargas,2,15
MULTIPLA,Historia,Em que ano terminou a Segunda Guerra Mundial?,1943,1944,1945,1946,3,10
MULTIPLA,Historia,Qual foi a primeira nação a orbitar um satélite artificial?,Estados Unidos,China,União Soviética,Alemanha,3,15
MULTIPLA,Historia,Em que país ocorreu a Revolução Francesa?,Alemanha,Inglaterra,Espanha,França,4,10
MULTIPLA,Historia,Em que século ocorreu a Revolução Industrial?,XVI,XVII,XVIII,XIX,3,15
MULTIPLA,Historia,Qual país construiu o Canal de Suez?,França,Inglaterra,Egito,Turquia,2,15
MULTIPLA,Historia,Em que ano o homem pisou na Lua pela primeira vez?,1963,1966,1969,1972,3,15
MULTIPLA,Historia,Quem era o líder da Alemanha nazista?,Stalin,Mussolini,Hitler,Franco,3,10
MULTIPLA,Historia,Qual cultura construiu as pirâmides de Gizé?,Romana,Grega,Egípcia,Mesopotâmica,3,10
MULTIPLA,Historia,Em que ano foi proclamada a República do Brasil?,1888,1889,1891,1900,2,10
MULTIPLA,Historia,Qual era o nome do navio que afundou em 1912?,Titanic,Lusitânia,Olympic,Britannic,1,10
MULTIPLA,Historia,Qual foi a principal causa da Primeira Guerra Mundial?,Assassinato do Arquiduque Francisco Fernando,Invasão da Polônia,Bomba atômica,Revolução Russa,1,15
MULTIPLA,Historia,Qual movimento aboliu a escravidão nos EUA?,Revolução Americana,Guerra Civil Americana,Guerra de Secessão,Movimento pelos Direitos Civis,2,15
MULTIPLA,Historia,Em que ano o Muro de Berlim caiu?,1985,1987,1989,1991,3,15
MULTIPLA,Historia,Qual foi o primeiro país a dar o voto feminino?,Nova Zelândia,Reino Unido,Estados Unidos,França,1,15
MULTIPLA,Historia,Quem liderou a Índia na luta pela independência?,Nehru,Gandhi,Jinnah,Subhas Bose,2,15
MULTIPLA,Historia,Em que ano foi fundada a ONU?,1944,1945,1946,1947,2,15
MULTIPLA,Historia,Qual guerra marcou o fim do Império Romano do Ocidente?,Primeira Guerra Púnica,Guerras Médicas,Queda de Roma em 476 d.C.,Cruzadas,3,15
MULTIPLA,Historia,Quem foi o primeiro homem a orbitar a Terra?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Alan Shepard,3,15
MULTIPLA,Historia,Em que ano ocorreu a Revolução Russa?,1905,1910,1917,1922,3,15
MULTIPLA,Historia,Qual foi o nome da lei que aboliu a escravidão no Brasil?,Lei Áurea,Lei do Ventre Livre,Lei dos Sexagenários,Carta Magna,1,15
MULTIPLA,Historia,Em que continente foi o Apartheid?,América,Ásia,África,Europa,3,10
MULTIPLA,Historia,Quem escreveu A Arte da Guerra?,Confúcio,Sun Tzu,Lao Tsé,Cao Cao,2,15
MULTIPLA,Historia,Em que ano começou a Primeira Guerra Mundial?,1912,1914,1916,1918,2,10
MULTIPLA,Historia,Qual civilização antiga construiu o Coliseu?,Grega,Egípcia,Romana,Persa,3,10
MULTIPLA,Historia,Em que país ocorreu a Revolução Cultural de Mao Tsé-tung?,Índia,China,Japão,Vietnã,2,15
MULTIPLA,Historia,Qual foi a maior batalha da Segunda Guerra Mundial na União Soviética?,Batalha de Stalingrado,Batalha de Moscou,Batalha de Leningrado,Batalha de Kursk,1,15
MULTIPLA,Historia,Qual empresa foi um dos símbolos do colonialismo britânico na Índia?,Companhia das Índias Orientais,British Petroleum,Banco da Inglaterra,Royal Navy,1,15
MULTIPLA,Historia,Em que ano Cristóvão Colombo chegou à América?,1488,1492,1498,1502,2,10
MULTIPLA,Historia,Quem foi o imperador da França no início do século XIX?,Luís XIV,Napoleão Bonaparte,Luís XVI,Carlos Magno,2,15
MULTIPLA,Historia,Qual foi o principal resultado da Conferência de Yalta?,Criação da ONU,Divisão da Alemanha,Acordo sobre a Europa pós-guerra,Rendição do Japão,3,15
MULTIPLA,Historia,Em que país ocorreu o Genocídio de Ruanda?,Uganda,Rwanda,Congo,Kenya,2,15
MULTIPLA,Historia,Qual foi o primeiro país a usar a bomba atômica em guerra?,Alemanha,União Soviética,Estados Unidos,Japão,3,10
MULTIPLA,Historia,Em que século viveu Leonardo da Vinci?,XIV,XV,XVI,XVII,3,15
MULTIPLA,Historia,Qual é o nome do tratado que encerrou a Primeira Guerra Mundial?,Tratado de Berlim,Tratado de Paris,Tratado de Versalhes,Tratado de Genebra,3,10
MULTIPLA,Historia,Em que ano o Brasil se tornou independente de Portugal?,1820,1822,1824,1830,2,10
MULTIPLA,Historia,Qual é o maior império da história?,Romano,Britânico,Mongol,Otomano,3,15
MULTIPLA,Historia,Qual cidade foi destruída pelo Vesúvio em 79 d.C.?,Roma,Nápoles,Pompeia,Atenas,3,10
MULTIPLA,Historia,Quem foi o último faraó do Egito?,Cleópatra,Nefertiti,Tutancâmon,Ramsés II,1,15
MULTIPLA,Historia,Em que ano foi assinada a Declaração de Independência dos EUA?,1774,1776,1778,1780,2,10
MULTIPLA,Historia,Qual foi o nome do plano americano para reconstruir a Europa pós-guerra?,Plano Marshall,Plano Keynes,Plano New Deal,Plano Truman,1,15
MULTIPLA,Historia,Qual civilização criou o alfabeto fonético?,Fenícia,Grega,Romana,Egípcia,1,15
MULTIPLA,Historia,Em que ano Nelson Mandela se tornou presidente da África do Sul?,1990,1992,1994,1996,3,15
MULTIPLA,Historia,Qual foi a primeira cruzada convocada pelo Papa Urbano II?,1096,1147,1189,1202,1,15
MULTIPLA,Historia,Quem foi o primeiro astronauta americano a ir ao espaço?,Neil Armstrong,John Glenn,Alan Shepard,Buzz Aldrin,3,15
MULTIPLA,Historia,Em que país nasceu Karl Marx?,França,Rússia,Alemanha,Áustria,3,15
MULTIPLA,Historia,Qual foi o nome da operação aliada no Dia D?,Operação Overlord,Operação Barbarossa,Operação Market Garden,Operação Torch,1,15
MULTIPLA,Historia,Em que ano foi fundado o Partido Nazista?,1919,1921,1923,1925,1,15
MULTIPLA,Historia,Qual foi o nome da primeira constituição brasileira?,Constituição Imperial de 1824,Constituição Republicana de 1891,Carta de 1937,Constituição de 1946,1,15
MULTIPLA,Historia,Quem construiu o Canal do Panamá?,Reino Unido,Estados Unidos,França,Espanha,2,15
MULTIPLA,Historia,Em que século ocorreu a escravidão no Brasil?,XVI ao XIX,XVII ao XIX,XIV ao XVIII,XV ao XVIII,1,15
MULTIPLA,Historia,Qual foi o período histórico entre as duas guerras mundiais?,Belle Époque,Entre Guerras,Renascimento,Iluminismo,2,10
MULTIPLA,Historia,Em que ano a Alemanha foi reunificada?,1987,1989,1990,1991,3,15
MULTIPLA,Historia,Qual foi o nome da guerra entre Grécia e Pérsia?,Guerras Persas,Guerras do Peloponeso,Guerras Macedônias,Guerras Púnicas,1,15
MULTIPLA,Historia,Quem liderou a Revolução Cubana?,Che Guevara,Fidel Castro,Batista,Raul Castro,2,15
MULTIPLA,Historia,Em que país fica a cidade de Hiroshima?,China,Japão,Coreia do Sul,Vietnã,2,10
MULTIPLA,Historia,Qual foi o nome da política de separação racial na África do Sul?,Nazismo,Fascismo,Apartheid,Segregação,3,10
MULTIPLA,Historia,Em que ano ocorreu o atentado de 11 de setembro?,1999,2000,2001,2002,3,10
MULTIPLA,Historia,Qual foi o primeiro país da América do Sul a se independentizar?,Venezuela,Brasil,Colômbia,Argentina,1,15
MULTIPLA,Historia,Em que cidade foi assinada a Magna Carta em 1215?,Londres,Oxford,York,Runnymede,4,15
MULTIPLA,Historia,Qual foi a maior batalha naval da Primeira Guerra Mundial?,Batalha de Jutlândia,Batalha de Tsushima,Batalha do Atlântico,Batalha de Midway,1,15
MULTIPLA,Historia,Quem foi o fundador do Império Mongol?,Kublai Khan,Tamerlão,Genghis Khan,Hulagu Khan,3,15
MULTIPLA,Historia,Qual evento marcou o início da Guerra Fria?,Bomba de Hiroshima,Revolução Chinesa,Discurso da Cortina de Ferro,Crise dos Mísseis Cubanos,3,15
VERDADEIRO_FALSO,Historia,A Revolução Francesa ocorreu no século XVIII.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Historia,O Brasil foi colônia da Espanha.,,,,,Falso,10
VERDADEIRO_FALSO,Historia,A Segunda Guerra Mundial terminou em 1945.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Historia,Napoleão Bonaparte era francês de nascimento.,,,,,Falso,15
VERDADEIRO_FALSO,Historia,A América foi descoberta pelos europeus em 1492.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Historia,O Muro de Berlim caiu em 1989.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Historia,O Império Romano é o maior da história.,,,,,Falso,10
VERDADEIRO_FALSO,Historia,A Lei Áurea aboliu a escravidão no Brasil.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Historia,Gandhi foi assassinado por um conterrâneo.,,,,,Verdadeiro,15
VERDADEIRO_FALSO,Historia,O Japão foi o único país a receber bombardeio atômico.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Historia,A Revolução Russa aconteceu em 1917.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Historia,Júlio César foi o primeiro imperador romano.,,,,,Falso,15
VERDADEIRO_FALSO,Historia,A Primeira Guerra Mundial começou em 1914.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Historia,O Egito fica no continente africano.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Historia,A ONU foi fundada após a Primeira Guerra Mundial.,,,,,Falso,10
VERDADEIRO_FALSO,Historia,Nelson Mandela ficou preso por 27 anos.,,,,,Verdadeiro,15
VERDADEIRO_FALSO,Historia,O Renascimento começou na Itália.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Historia,O Brasil foi o último país das Américas a abolir a escravidão.,,,,,Verdadeiro,15
VERDADEIRO_FALSO,Historia,A Declaração de Independência dos EUA foi assinada em 1776.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Historia,Cleópatra era de origem grega.,,,,,Verdadeiro,15
COMPLETAR,Historia,Complete: A Segunda Guerra Mundial terminou em _____.,,,,,1945,20
COMPLETAR,Historia,Complete: O Brasil foi descoberto em _____ por Pedro Álvares Cabral.,,,,,1500,20
COMPLETAR,Historia,Complete: O tratado que encerrou a Primeira Guerra Mundial foi o Tratado de _____.,,,,,Versalhes,20
COMPLETAR,Historia,Complete: O primeiro homem a orbitar a Terra foi _____.,,,,,Yuri Gagarin,20
COMPLETAR,Historia,Complete: A lei que aboliu a escravidão no Brasil chama-se Lei _____.,,,,,Áurea,20
COMPLETAR,Historia,Complete: O Império Mongol foi fundado por _____.,,,,,Genghis Khan,20
COMPLETAR,Historia,Complete: O nazismo foi liderado por _____.,,,,,Hitler,20
COMPLETAR,Historia,Complete: A Revolução Francesa ocorreu em _____.,,,,,1789,20
COMPLETAR,Historia,Complete: O Canal do Panamá fica no país _____.,,,,,Panamá,20
COMPLETAR,Historia,Complete: Pompeia foi destruída pelo vulcão _____.,,,,,Vesúvio,20
MULTIPLA,Tecnologia,O que significa a sigla CPU?,Central Processing Unit,Computer Power Unit,Core Processing Utility,Central Power Unit,1,10
MULTIPLA,Tecnologia,Qual linguagem é usada para estilizar páginas web?,Java,HTML,CSS,Python,3,10
MULTIPLA,Tecnologia,O que é um algoritmo?,Um tipo de vírus,Um hardware específico,Uma sequência de instruções para resolver um problema,Um protocolo de rede,3,10
MULTIPLA,Tecnologia,O que significa a sigla RAM?,Random Access Memory,Read Access Memory,Remote Access Module,Rapid Action Mode,1,10
MULTIPLA,Tecnologia,Qual linguagem de programação usa indentação como parte da sintaxe?,Java,C++,Python,JavaScript,3,10
MULTIPLA,Tecnologia,Qual é a função de um sistema operacional?,Fazer cálculos matemáticos,Gerenciar recursos de hardware e software,Navegar na internet,Editar textos,2,10
MULTIPLA,Tecnologia,O que é um banco de dados relacional?,Sistema de arquivos,Estrutura de dados baseada em tabelas com relações,Tipo de rede social,Linguagem de programação,2,10
MULTIPLA,Tecnologia,O que significa HTTP?,HyperText Transfer Protocol,High Tech Transfer Protocol,Hybrid Text Transmission Program,HyperText Terminal Protocol,1,10
MULTIPLA,Tecnologia,Qual estrutura de dados segue o princípio LIFO?,Fila,Árvore,Pilha,Grafo,3,10
MULTIPLA,Tecnologia,O que é compilação em programação?,Execução direta do código,Tradução do código-fonte para linguagem de máquina,Teste automático do código,Comentário do código,2,15
MULTIPLA,Tecnologia,O que é um IP address?,Nome de um site,Endereço único de um dispositivo em rede,Tipo de protocolo de email,Tipo de vírus,2,10
MULTIPLA,Tecnologia,Qual linguagem é usada principalmente para estruturar páginas web?,CSS,JavaScript,Python,HTML,4,10
MULTIPLA,Tecnologia,O que é recursão em programação?,Loop infinito,Função que chama a si mesma,Tipo de bug,Método de compilação,2,15
MULTIPLA,Tecnologia,Qual é o papel de um firewall?,Acelerar a internet,Editar arquivos,Bloquear acessos não autorizados em rede,Armazenar dados,3,10
MULTIPLA,Tecnologia,O que é machine learning?,Programação manual de regras,Sistema que aprende com dados,Tipo de hardware,Protocolo de rede,2,15
MULTIPLA,Tecnologia,Qual é a complexidade temporal do algoritmo de busca binária?,O(n),O(log n),O(n^2),O(1),2,15
MULTIPLA,Tecnologia,O que é um loop infinito?,Loop que executa exatamente 100 vezes,Loop sem condição de saída,Loop que usa recursão,Loop paralelo,2,10
MULTIPLA,Tecnologia,Qual é o nome do protocolo usado para envio de emails?,HTTP,FTP,SMTP,SSH,3,10
MULTIPLA,Tecnologia,O que é um byte?,8 bits,4 bits,16 bits,1 bit,1,10
MULTIPLA,Tecnologia,Qual é a linguagem mais usada para desenvolvimento Android?,Swift,Kotlin,C#,PHP,2,15
MULTIPLA,Tecnologia,O que é uma API?,Aplicativo para iPhone,Interface de programação de aplicativos,Tipo de banco de dados,Protocolo de segurança,2,10
MULTIPLA,Tecnologia,Qual é o nome do sistema de controle de versão mais popular?,Git,SVN,CVS,Mercurial,1,10
MULTIPLA,Tecnologia,O que é um algoritmo de ordenação?,Algoritmo que busca elementos,Algoritmo que organiza elementos em ordem,Algoritmo de compressão,Algoritmo de criptografia,2,10
MULTIPLA,Tecnologia,Qual é o nome do princípio de encapsulamento em POO?,Herança,Polimorfismo,Abstração,Encapsulamento,4,10
MULTIPLA,Tecnologia,O que é DNS?,Sistema de Nomes de Domínio,Sistema de Numeração Digital,Protocolo de rede seguro,Tipo de firewall,1,10
MULTIPLA,Tecnologia,Qual é a diferença entre compilado e interpretado?,Compilado é mais lento,Compilado traduz todo código antes; interpretado executa linha a linha,Interpretado é sempre mais rápido,Não há diferença,2,15
MULTIPLA,Tecnologia,O que é polimorfismo em POO?,Herdar atributos de outra classe,Objeto se comportar de formas diferentes conforme o contexto,Ocultar detalhes de implementação,Criar várias instâncias,2,15
MULTIPLA,Tecnologia,Qual estrutura de dados segue o princípio FIFO?,Pilha,Árvore,Fila,Grafo,3,10
MULTIPLA,Tecnologia,O que é SQL?,Linguagem de script para web,Linguagem de consulta para bancos de dados,Sistema operacional,Protocolo de rede,2,10
MULTIPLA,Tecnologia,O que é um servidor web?,Computador que hospeda e distribui páginas web,Tipo de vírus,Protocolo de email,Sistema operacional,1,10
MULTIPLA,Tecnologia,Qual é o nome do processo de dividir um programa em funções reutilizáveis?,Recursão,Modularização,Compilação,Debug,2,10
MULTIPLA,Tecnologia,O que é criptografia?,Compressão de dados,Técnica de ocultar informações usando códigos,Tipo de vírus,Protocolo de rede,2,15
MULTIPLA,Tecnologia,Qual linguagem é nativa dos navegadores web?,Java,Python,JavaScript,C++,3,10
MULTIPLA,Tecnologia,O que é um deadlock em sistemas operacionais?,Travamento mútuo entre processos,Loop infinito,Falta de memória,Erro de compilação,1,15
MULTIPLA,Tecnologia,Qual é a diferença entre stack e heap?,Stack é para dados globais; heap para locais,Stack é para dados locais e temporários; heap para alocação dinâmica,Heap é sempre maior que stack,Não há diferença,2,15
MULTIPLA,Tecnologia,O que é um container Docker?,Máquina virtual completa,Unidade leve de software com suas dependências,Tipo de banco de dados,Sistema operacional,2,15
MULTIPLA,Tecnologia,Qual é o nome do protocolo seguro para transferência de arquivos?,FTP,SFTP,HTTP,SMTP,2,10
MULTIPLA,Tecnologia,O que é herança em POO?,Objeto que usa outro objeto,Classe que herda atributos e métodos de outra classe,Tipo de loop,Método de compilação,2,10
MULTIPLA,Tecnologia,Qual é o nome do padrão de projeto que define uma interface comum para famílias de objetos?,Factory Method,Singleton,Observer,Strategy,1,15
MULTIPLA,Tecnologia,O que é latência em redes?,Velocidade de upload,Atraso na transmissão de dados,Tamanho do pacote,Largura de banda,2,10
MULTIPLA,Tecnologia,Qual é a linguagem de programação criada pela Apple para iOS?,Java,Kotlin,Swift,Objective-C,3,15
MULTIPLA,Tecnologia,O que é um array?,Tipo de loop,Coleção de elementos do mesmo tipo,Função anônima,Protocolo de rede,2,10
MULTIPLA,Tecnologia,Qual é o nome do processo de encontrar e corrigir bugs?,Refatoração,Depuração (debug),Compilação,Deploy,2,10
MULTIPLA,Tecnologia,O que é um sistema distribuído?,Sistema em um único servidor,Sistema composto por vários computadores que trabalham juntos,Tipo de banco de dados,Protocolo de segurança,2,15
MULTIPLA,Tecnologia,Qual é a diferença entre HTTP e HTTPS?,HTTPS usa criptografia e HTTP não,HTTP é mais rápido,HTTPS é mais antigo,Não há diferença,1,10
MULTIPLA,Tecnologia,O que é um ponteiro em C/C++?,Tipo de loop,Variável que armazena endereço de memória,Tipo de array,Função recursiva,2,15
MULTIPLA,Tecnologia,Qual é o nome da estrutura de dados em árvore usada em bancos de dados?,B-Tree,Hash Table,Linked List,Stack,1,15
MULTIPLA,Tecnologia,O que é um teste unitário?,Teste do sistema inteiro,Teste de uma unidade individual de código,Teste de performance,Teste de segurança,2,10
MULTIPLA,Tecnologia,Qual é o nome do protocolo de comunicação em tempo real na web?,REST,SOAP,WebSocket,GraphQL,3,15
MULTIPLA,Tecnologia,O que é refatoração de código?,Reescrever o código do zero,Melhorar o código sem alterar seu comportamento externo,Adicionar novas funcionalidades,Corrigir bugs críticos,2,15
MULTIPLA,Tecnologia,Qual é o nome da arquitetura que separa frontend de backend via API?,Monolítica,Microsserviços,REST,MVC,2,15
MULTIPLA,Tecnologia,O que é um cache?,Memória principal do computador,Armazenamento rápido e temporário para dados frequentes,Tipo de banco de dados,Protocolo de rede,2,10
MULTIPLA,Tecnologia,Qual é a diferença entre processo e thread?,Processo é menor que thread,Thread é uma unidade de execução dentro de um processo,Não há diferença,Thread usa mais memória,2,15
MULTIPLA,Tecnologia,O que é um webhook?,Tipo de banco de dados,Notificação HTTP enviada por um servidor quando um evento ocorre,Protocolo de segurança,Tipo de API,2,15
MULTIPLA,Tecnologia,Qual é o nome da metodologia ágil baseada em sprints?,Kanban,Waterfall,Scrum,Lean,3,10
MULTIPLA,Tecnologia,O que é um ORM?,Protocolo de rede,Mapeamento Objeto-Relacional que conecta objetos a bancos de dados,Tipo de firewall,Sistema operacional,2,15
MULTIPLA,Tecnologia,Qual é o nome do paradigma que trata funções como objetos de primeira classe?,Orientado a Objetos,Imperativo,Funcional,Procedural,3,15
MULTIPLA,Tecnologia,O que é Big O Notation?,Notação para medir tamanho de arquivos,Notação para descrever complexidade de algoritmos,Tipo de banco de dados,Protocolo de rede,2,15
MULTIPLA,Tecnologia,Qual é o nome do padrão arquitetural mais comum em aplicações web?,REST,MVC,MVVM,MVP,2,10
MULTIPLA,Tecnologia,O que é um garbage collector?,Sistema de segurança,Mecanismo que libera memória não utilizada automaticamente,Tipo de compilador,Protocolo de rede,2,15
MULTIPLA,Tecnologia,Qual é a diferença entre linguagem de alto e baixo nível?,Alto nível é mais lento,Alto nível é mais próximo da linguagem humana; baixo nível do hardware,Baixo nível é mais fácil,Não há diferença,2,15
MULTIPLA,Tecnologia,O que é blockchain?,Tipo de banco de dados centralizado,Cadeia de blocos de dados distribuída e imutável,Protocolo de internet,Linguagem de programação,2,15
MULTIPLA,Tecnologia,Qual é o nome do protocolo de roteamento da internet?,TCP/IP,HTTP,FTP,SMTP,1,10
MULTIPLA,Tecnologia,O que é virtualização?,Criar cópias físicas de servidores,Simular hardware para rodar múltiplos sistemas em uma máquina,Tipo de criptografia,Protocolo de segurança,2,15
MULTIPLA,Tecnologia,Qual é o nome do arquivo de configuração de dependências no Node.js?,pom.xml,build.gradle,package.json,requirements.txt,3,10
VERDADEIRO_FALSO,Tecnologia,O Python é uma linguagem de programação compilada.,,,,,Falso,10
VERDADEIRO_FALSO,Tecnologia,O HTML é uma linguagem de programação.,,,,,Falso,10
VERDADEIRO_FALSO,Tecnologia,Um byte é composto por 8 bits.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Tecnologia,O Git é um sistema de controle de versão.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Tecnologia,SQL é usado para consultar bancos de dados relacionais.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Tecnologia,JavaScript só funciona no navegador.,,,,,Falso,10
VERDADEIRO_FALSO,Tecnologia,Um loop infinito sempre causa erro de compilação.,,,,,Falso,10
VERDADEIRO_FALSO,Tecnologia,TCP é mais confiável que UDP.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Tecnologia,Python usa chaves para definir blocos de código.,,,,,Falso,10
VERDADEIRO_FALSO,Tecnologia,O Linux é um sistema operacional de código aberto.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Tecnologia,Uma API REST usa o protocolo HTTP.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Tecnologia,Machine learning sempre requer supervisão humana.,,,,,Falso,15
VERDADEIRO_FALSO,Tecnologia,Um array começa no índice 1 na maioria das linguagens.,,,,,Falso,10
VERDADEIRO_FALSO,Tecnologia,O Docker usa containers para isolar aplicações.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Tecnologia,O padrão MVC separa lógica de negócios da interface.,,,,,Verdadeiro,10
VERDADEIRO_FALSO,Tecnologia,Blockchain é uma estrutura de dados centralizada.,,,,,Falso,10
VERDADEIRO_FALSO,Tecnologia,Um servidor DNS traduz domínios em endereços IP.,,,,,Verdadeiro,10
